PAE,kmain(),after recv(),after send()
48624,50028,116338,256148
48038,49452,116614,250072
47368,48762,116042,258176
48008,49424,116168,249972
33910,34970,83214,181836
34290,35304,83478,181936
34166,35226,83426,181590
34120,35136,84362,183014
34810,35816,83966,187422
33684,34728,83348,187062
33926,35022,83516,181532
34056,35106,83500,187708
