PAE,kmain(),after recv(),after send()
87076,88864,197500,473604
57154,58140,124494,292874
40160,40870,87696,262922
57272,58258,123414,289812
95096,96796,202184,453004
93432,95140,248716,520320
94236,95892,202336,453740
72704,74024,157406,364366
88024,89760,197404,469044
79008,80498,179772,431484
89802,91314,190768,423580
94728,96432,201624,457340
48980,49802,105942,248290
86032,87638,182244,469928
88440,89988,187092,428652
95436,97164,203704,454168
95664,97364,205240,522752
31532,32056,69962,167502
79368,80920,181128,437662
30950,31498,67480,166146
94336,96152,201560,451448
95952,97724,206920,482236
94844,96540,201176,450316
97040,98828,264888,531924
94128,95836,202508,454300
94564,96316,203888,455648
85544,87132,184372,421044
89264,90948,200304,472752
32674,33186,70144,171898
95232,96996,206996,464132
31768,32316,68650,170322
95240,96920,202732,455384
97776,99460,205516,476064
31706,32252,69156,174006
52608,53598,120882,302344
57756,58764,126546,295634
38166,38852,86968,219452
37912,38606,86026,218074
96260,97964,270948,552972
53184,54224,119750,300132
48384,49266,102760,241716
87220,88732,188624,424906
52324,53360,174966,406380
44306,45156,99776,254068
44058,44870,99456,247456
58548,59588,124164,293552
77988,79558,178744,437222
89124,90804,190556,447086
56372,57392,123958,290822
95448,97156,201124,450472
67086,68364,153276,380700
87480,89018,188178,431270
149520,151232,257304,529280
95624,97380,205664,462616
98460,100296,203980,473536
87296,88896,189182,428382
56196,57168,124054,287306
98088,99912,205260,472980
74304,75678,161332,379376
88188,89828,185616,420478
81072,82668,180840,433792
97008,98844,207352,467500
37728,38450,84096,220712
87928,89644,185028,420518
96960,98648,206548,510216
97132,98892,204784,471396
98416,100172,209408,484764
57880,58916,124588,291592
85260,86756,189064,425620
96352,98100,201300,506268
88872,90568,199152,473588
85566,87178,179470,371698
90674,92232,193648,438966
56900,57906,127018,292706
73504,74824,158758,370926
31480,31994,68530,167186
51978,53014,120882,299848
95796,97460,207064,469476
58122,59172,126234,293976
36794,37502,84526,226160
29644,30186,66770,173616
87580,89396,199192,472992
95356,97072,206656,460604
43216,44040,100286,254838
96556,98300,206264,459080
96952,98724,204496,454236
85906,87448,235150,488312
88326,89938,185652,431772
71682,72988,158216,366856
32282,32832,68888,166918
85536,87076,186104,468582
44470,45264,103438,257766
95904,97704,202284,458736
37918,38620,85508,218242
43616,44416,99162,253600
43150,44002,99874,252664
37650,38330,87326,225594
81190,82670,182330,441374
43444,44254,100144,257442
87936,89492,188196,425122
93624,95222,196988,434230
87356,89076,194348,465184
31262,31788,69418,168134
58122,59094,125760,294148
95484,97200,204012,471896
28940,29476,61460,126484
28804,29332,65498,173082
47712,48594,102434,246828
85820,87392,186092,426082
96468,98204,201988,561112
94732,96440,204552,460976
98776,100536,205836,474064
69988,70994,139700,314978
87288,88904,186694,421592
46930,47738,103264,243078
100256,101908,208992,461572
97780,99564,205396,516728
94512,96176,199724,454152
168044,169776,278352,548044
88378,89988,188156,438816
96476,98224,205216,461932
74182,75538,160682,373020
31726,32278,69936,175400
88016,89574,186892,423486
44652,45494,101334,251802
36616,37332,84942,216292
83832,85436,185718,419564
88364,90008,196756,468784
95644,97328,203520,460476
94568,96256,202856,563440
87992,89732,198648,472960
95160,96900,202376,451420
86798,88402,186164,435672
86456,88032,189000,421502
82772,84294,175552,364468
31084,31618,67946,167170
81040,82612,182764,436056
96616,98344,205412,460380
89950,91516,188122,520352
95612,97308,203924,459420
95784,97536,202092,471164
94216,95976,203696,457796
88784,90548,198772,465736
87122,88712,183740,418276
93812,95484,202348,455416
74238,75554,160248,373522
78776,80372,180596,419964
37192,37756,78132,177938
84876,86404,187770,421274
79002,80560,182462,441578
95624,97444,204584,452984
56800,57844,125386,295100
97340,99036,207140,460912
43526,44346,102202,255948
52416,53434,167602,329306
87436,88984,189448,427276
85730,87286,184394,419642
96592,98248,206592,476796
74652,75946,161400,374190
73538,74810,160816,370484
88690,90218,245052,494504
57136,58148,126126,295436
98752,100568,207392,461916
93980,95724,202528,450600
95280,97028,204500,455756
96792,98552,209316,482068
87668,89424,198612,471572
71768,73058,160710,378150
43212,44064,98050,250796
