Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  148, 678,4510, 254,15552, 906, 856
Hyper-V,  148, 710,4492, 248,15640,1394, 850
Hyper-V,  148, 608,4496, 248,15580, 898, 850
Hyper-V,  134, 662,4464, 236,15562,1338, 846
Hyper-V,  148, 694,4496, 248,16050,1006, 858
Hyper-V,  148, 654,4556, 252,15682,1342, 852
Hyper-V,  148, 656,4494, 252,15650, 956, 846
Hyper-V,  134, 680,4464, 238,15670,1328, 850
Hyper-V,  148, 634,4500, 248,15692, 910, 856
Hyper-V,  134, 746,4458, 236,16118,1004, 852
Hyper-V,  148, 736,4496, 248,15662,1340, 848
Hyper-V,  148, 718,4498, 254,15968, 908, 850
Hyper-V,  134, 620,4464, 236,15588, 906, 850
Hyper-V,  148, 666,4484, 248,15580,1326, 852
Hyper-V,  148, 650,4484, 246,15680, 994, 848
Hyper-V,  134, 738,4458, 234,15608,1318, 850
Hyper-V,  148, 666,4492, 252,15650, 898, 854
Hyper-V,  134, 662,4468, 236,15594, 898, 856
Hyper-V,  148, 638,4496, 246,15552, 932, 856
Hyper-V,  148, 652,4492, 250,15608,1350, 850
Hyper-V,  148, 678,4496, 248,15568, 908, 858
Hyper-V,  134, 694,4460, 234,15610,1342, 852
Hyper-V,  136, 620,4466, 232,15612, 906, 848
Hyper-V,  134, 684,4460, 238,15590, 898, 858
Hyper-V,  148, 608,4504, 248,15566, 910, 852
Hyper-V,  134, 662,4456, 238,15584,1086, 850
Hyper-V,  134, 636,4454, 234,15558, 902, 852
Hyper-V,  134, 700,4508, 236,15594,1360, 854
Hyper-V,  148, 568,4536, 248,15564, 842, 846
Hyper-V,  148, 710,4494, 248,15662, 834, 850
Hyper-V,  148, 828,4914, 246,15622,1114, 852
Hyper-V,  136, 622,4450, 234,15560, 912, 854
Hyper-V,  134, 640,4466, 232,15614, 892, 852
Hyper-V,  148, 716,4484, 248,15580, 898, 852
Hyper-V,  148, 700,4512, 248,15566, 894, 848
Hyper-V,  148, 672,4510, 246,15584, 928, 854
Hyper-V,  148, 904,4484, 248,15586, 836, 852
Hyper-V,  148, 666,4498, 246,15606,1322, 860
Hyper-V,  148, 610,4492, 252,15924, 892, 846
Hyper-V,  134, 670,4464, 234,15554,1340, 852
Hyper-V,  134, 634,4456, 234,15636, 892, 852
Hyper-V,  134, 704,4456, 232,15548,1338, 852
Hyper-V,  148, 648,4512, 246,15628,1020, 852
Hyper-V,  148, 644,4494, 252,15962, 844, 852
Hyper-V,  134, 674,4450, 236,15624,1334, 850
Hyper-V,  148, 668,4486, 254,15586, 904, 848
Hyper-V,  134, 666,4460, 232,15634,1326, 852
Hyper-V,  134, 676,4500, 234,15610, 938, 852
Hyper-V,  134, 710,4454, 232,15584,1322, 854
Hyper-V,  148, 642,4486, 246,15644, 834, 846
Hyper-V,  136, 664,4462, 232,15554,1342, 852
Hyper-V,  148, 620,4480, 248,15602, 986, 848
Hyper-V,  148, 670,4524, 252,15732,1368, 854
Hyper-V,  148,1234,4498, 250,15544, 994, 850
Hyper-V,  134, 792,4452, 234,15964, 904, 852
Hyper-V,  148, 922,4494, 246,15702, 898, 850
Hyper-V,  148,1098,4494, 250,15574, 902, 856
Hyper-V,  134, 674,4452, 236,15632,1334, 846
Hyper-V,  148, 716,4494, 248,15632, 888, 852
Hyper-V,  148, 694,4482, 250,15570, 906, 850
Hyper-V,  148, 682,4518, 246,15926,1318, 860
Hyper-V,  134, 628,4460, 240,15590, 910, 856
Hyper-V,  148, 644,4486, 246,15564,1340, 846
