Platform, cli, lgdt, prot, in 32, id map, long, in 64
KVM Noserial,   38, 158,55515, 193,248088, 677, 155
KVM Noserial,   38, 158,55554, 196,247805, 663, 166
KVM Noserial,   38, 158,56029, 196,247710, 663, 166
KVM Noserial,   27, 158,55797, 196,337232, 663, 166
KVM Noserial,   75, 169,55872, 199,304378, 666, 166
KVM Noserial,   27, 169,55955, 196,247603, 663, 166
KVM Noserial,   86, 172,55634, 193,247678, 674, 158
KVM Noserial,   86, 172,55729, 182,246536, 663, 169
KVM Noserial,   38, 158,55310, 196,247606, 666, 166
KVM Noserial,   27, 169,55884, 193,247211, 674, 155
KVM Noserial,   27, 169,55914, 193,248364, 674, 155
KVM Noserial,   27, 169,55718, 193,247983, 660, 166
KVM Noserial,   86, 161,55815, 172,247847, 663, 166
KVM Noserial,   34, 168,58610, 199,281437, 666, 166
KVM Noserial,   34, 168,57647, 199,256797, 691, 172
KVM Noserial,   89, 171,57778, 202,285708, 674, 155
KVM Noserial,   29, 159,54095, 190,240177, 647, 156
KVM Noserial,   29, 159,53892, 185,240642, 644, 159
KVM Noserial,   29, 159,53860, 185,240497, 647, 159
KVM Noserial,   86, 169,55875, 196,248572, 663, 166
KVM Noserial,   86, 172,55685, 193,247719, 663, 166
KVM Noserial,   29, 161,54424, 188,240220, 650, 156
KVM Noserial,   29, 162,53979, 188,240081, 647, 156
KVM Noserial,   29, 161,53679, 188,240482, 650, 156
KVM Noserial,   27, 158,55571, 182,246812, 663, 166
KVM Noserial,   81, 159,53872, 188,271995, 663, 169
KVM Noserial,   29, 159,53609, 185,239359, 647, 159
KVM Noserial,   29, 159,54034, 190,240136, 647, 159
KVM Noserial,   81, 162,54426, 188,239561, 644, 159
KVM Noserial,   81, 162,54476, 187,273066, 671, 158
KVM Noserial,   86, 169,56181, 196,248893, 663, 169
KVM Noserial,   27, 172,55851, 193,248115, 671, 155
KVM Noserial,   86, 172,56027, 175,247903, 663, 166
KVM Noserial,   27, 169,56398, 193,250878, 674, 155
KVM Noserial,   27, 169,55836, 196,247425, 663, 166
KVM Noserial,   27, 158,55631, 193,248058, 674, 155
KVM Noserial,   27, 169,55435, 196,247957, 674, 155
KVM Noserial,   38, 158,92037, 196,251888, 674, 155
KVM Noserial,   27, 169,55809, 164,247879, 663, 166
KVM Noserial,   81, 162,54045, 185,240489, 650, 156
KVM Noserial,   27, 169,55842, 182,247879, 663, 169
KVM Noserial,   29, 164,53705, 190,275697, 663, 166
KVM Noserial,   29, 159,53835, 187,239781, 647, 156
KVM Noserial,   31, 159,54098, 187,273570, 654, 166
KVM Noserial,   27, 175,57542, 199,256183, 676, 168
KVM Noserial,   34, 168,57601, 192,281814, 651, 158
KVM Noserial,   86, 172,55914, 196,312124, 657, 166
KVM Noserial,   86, 161,56249, 193,277780, 679, 172
KVM Noserial,   27, 169,55655, 193,286453, 686, 165
KVM Noserial,   38, 161,56121, 196,247170, 665, 155
KVM Noserial,   27, 169,55714, 182,248242, 665, 155
KVM Noserial,   27, 169,55533, 193,248284, 665, 158
KVM Noserial,   86, 172,55052, 196,248067, 654, 166
KVM Noserial,   86, 161,56017, 193,247357, 651, 169
KVM Noserial,   86, 169,55628, 182,273410, 638, 159
KVM Noserial,   29, 159,53843, 190,240454, 636, 156
KVM Noserial,   29, 159,53817, 188,240070, 635, 159
KVM Noserial,   81, 159,53702, 185,238977, 633, 159
KVM Noserial,   29, 164,53520, 188,238992, 638, 156
KVM Noserial,   29, 162,54022, 188,239457, 641, 156
KVM Noserial,   27, 169,55774, 196,247202, 654, 166
KVM Noserial,   86, 169,55581, 196,373424, 679, 165
KVM Noserial,   29, 161,54326, 188,239471, 636, 156
KVM Noserial,   81, 159,53537, 185,240789, 638, 156
KVM Noserial,   27, 172,55700, 196,247401, 654, 166
KVM Noserial,   27, 158,55512, 196,247992, 654, 155
KVM Noserial,   27, 158,55726, 193,248364, 668, 155
KVM Noserial,   38, 161,55509, 196,247268, 677, 155
KVM Noserial,   27, 169,55251, 193,248120, 663, 166
KVM Noserial,   38, 161,55503, 193,285109, 677, 155
KVM Noserial,   27, 169,55851, 185,246851, 663, 169
KVM Noserial,   38, 158,55554, 196,247318, 674, 155
